n,p,seed,ai_depth,num_moves,winner,nodes_explored,elapsed_seconds
12,0.5,50,3,3,1,52,0.000835
12,0.5,51,3,3,1,47,0.000719
12,0.5,52,3,3,1,47,0.000759
12,0.5,53,3,4,2,65,0.000951
12,0.5,54,3,3,1,44,0.001034
12,0.5,55,3,3,1,45,0.000815
12,0.5,56,3,3,1,52,0.000691
12,0.5,57,3,3,1,51,0.000757
12,0.5,58,3,3,1,46,0.000639
12,0.5,59,3,3,1,51,0.000683
12,0.5,60,3,3,1,52,0.00073
12,0.5,61,3,3,1,40,0.000727
12,0.5,62,3,3,1,48,0.000667
12,0.5,63,3,3,1,43,0.000699
12,0.5,64,3,3,1,54,0.000775
12,0.5,65,3,3,1,49,0.000746
12,0.5,66,3,4,2,64,0.001144
12,0.5,67,3,3,1,47,0.000701
12,0.5,68,3,3,1,56,0.000795
12,0.5,69,3,3,1,40,0.00066
12,0.5,70,3,3,1,46,0.000931
12,0.5,71,3,3,1,40,0.000688
12,0.5,72,3,3,1,41,0.000741
12,0.5,73,3,3,1,47,0.000727
12,0.5,74,3,3,1,45,0.000786
12,0.5,75,3,3,1,48,0.001147
12,0.5,76,3,3,1,57,0.000966
12,0.5,77,3,3,1,51,0.000899
12,0.5,78,3,4,2,94,0.001476
12,0.5,79,3,3,1,41,0.000713
12,0.5,80,3,3,1,44,0.000798
12,0.5,81,3,3,1,48,0.000801
12,0.5,82,3,3,1,41,0.000723
12,0.5,83,3,3,1,45,0.000799
12,0.5,84,3,3,1,47,0.00077
12,0.5,85,3,5,1,94,0.001946
12,0.5,86,3,3,1,50,0.001333
12,0.5,87,3,3,1,60,0.001013
12,0.5,88,3,3,1,41,0.000745
12,0.5,89,3,4,2,94,0.001462
12,0.5,90,3,3,1,47,0.000857
12,0.5,91,3,3,1,45,0.000757
12,0.5,92,3,3,1,51,0.000783
12,0.5,93,3,3,1,45,0.000776
12,0.5,94,3,3,1,46,0.000744
12,0.5,95,3,3,1,72,0.001036
12,0.5,96,3,3,1,43,0.000805
12,0.5,97,3,3,1,47,0.000769
12,0.5,98,3,3,1,41,0.000745
12,0.5,99,3,3,1,54,0.000913
13,0.5,0,3,3,1,108,0.001654
13,0.5,1,3,3,1,40,0.000875
13,0.5,2,3,4,2,115,0.001748
13,0.5,3,3,3,1,59,0.001015
13,0.5,4,3,3,1,56,0.001229
13,0.5,5,3,3,1,50,0.000833
13,0.5,6,3,3,1,54,0.001254
13,0.5,7,3,4,2,82,0.001617
13,0.5,8,3,3,1,52,0.001111
13,0.5,9,3,3,1,47,0.000765
13,0.5,10,3,3,1,49,0.000858
13,0.5,11,3,3,1,50,0.001418
13,0.5,12,3,3,1,52,0.000769
13,0.5,13,3,3,1,66,0.000928
13,0.5,14,3,3,1,47,0.000707
13,0.5,15,3,3,1,53,0.000765
13,0.5,16,3,3,1,51,0.001039
13,0.5,17,3,3,1,71,0.001109
13,0.5,18,3,3,1,46,0.000869
13,0.5,19,3,3,1,54,0.000793
13,0.5,20,3,3,1,60,0.000872
13,0.5,21,3,3,1,71,0.001164
13,0.5,22,3,3,1,54,0.000783
13,0.5,23,3,3,1,57,0.001079
13,0.5,24,3,3,1,55,0.000807
13,0.5,25,3,5,1,103,0.001822
13,0.5,26,3,3,1,54,0.000934
13,0.5,27,3,3,1,54,0.000879
13,0.5,28,3,3,1,46,0.000753
13,0.5,29,3,4,2,93,0.001453
13,0.5,30,3,3,1,51,0.000796
13,0.5,31,3,3,1,47,0.000743
13,0.5,32,3,3,1,44,0.000931
13,0.5,33,3,3,1,46,0.00093
13,0.5,34,3,3,1,50,0.000792
13,0.5,35,3,4,2,113,0.001568
13,0.5,36,3,3,1,54,0.000765
13,0.5,37,3,4,2,103,0.001616
13,0.5,38,3,3,1,48,0.001073
13,0.5,39,3,3,1,54,0.000838
13,0.5,40,3,3,1,86,0.001028
13,0.5,41,3,3,1,68,0.001091
13,0.5,42,3,3,1,54,0.00085
13,0.5,43,3,3,1,55,0.000952
13,0.5,44,3,3,1,51,0.000961
13,0.5,45,3,3,1,45,0.000817
13,0.5,46,3,3,1,55,0.000886
13,0.5,47,3,3,1,46,0.001284
13,0.5,48,3,3,1,55,0.000965
13,0.5,49,3,3,1,55,0.001562
13,0.5,50,3,3,1,54,0.001265
13,0.5,51,3,4,2,107,0.001951
13,0.5,52,3,4,2,83,0.001652
13,0.5,53,3,3,1,44,0.000851
13,0.5,54,3,3,1,45,0.000834
13,0.5,55,3,3,1,53,0.000949
13,0.5,56,3,3,1,47,0.000968
13,0.5,57,3,3,1,105,0.001536
13,0.5,58,3,3,1,53,0.000926
13,0.5,59,3,3,1,54,0.000934
13,0.5,60,3,3,1,54,0.001036
13,0.5,61,3,3,1,50,0.000949
13,0.5,62,3,3,1,70,0.001094
13,0.5,63,3,3,1,52,0.001219
13,0.5,64,3,3,1,44,0.000809
13,0.5,65,3,3,1,51,0.000838
13,0.5,66,3,3,1,48,0.000829
13,0.5,67,3,3,1,64,0.001012
13,0.5,68,3,3,1,58,0.000923
13,0.5,69,3,4,2,92,0.001438
13,0.5,70,3,3,1,62,0.000995
13,0.5,71,3,3,1,45,0.000798
13,0.5,72,3,3,1,54,0.000831
13,0.5,73,3,3,1,46,0.000766
13,0.5,74,3,3,1,50,0.000788
13,0.5,75,3,3,1,41,0.000792
13,0.5,76,3,3,1,55,0.000887
13,0.5,77,3,3,1,50,0.000888
13,0.5,78,3,3,1,52,0.000796
13,0.5,79,3,3,1,43,0.000755
13,0.5,80,3,3,1,63,0.000917
13,0.5,81,3,3,1,46,0.000749
13,0.5,82,3,4,2,96,0.001419
13,0.5,83,3,3,1,48,0.00077
13,0.5,84,3,4,2,119,0.001672
13,0.5,85,3,3,1,53,0.000797
13,0.5,86,3,3,1,73,0.001025
13,0.5,87,3,3,1,54,0.000856
13,0.5,88,3,3,1,53,0.000857
13,0.5,89,3,3,1,63,0.000986
13,0.5,90,3,3,1,58,0.000952
13,0.5,91,3,3,1,69,0.000985
13,0.5,92,3,4,2,124,0.00175
13,0.5,93,3,5,1,122,0.001814
13,0.5,94,3,3,1,57,0.000818
13,0.5,95,3,4,2,110,0.001535
13,0.5,96,3,3,1,73,0.001005
13,0.5,97,3,3,1,78,0.001073
13,0.5,98,3,4,2,100,0.001525
13,0.5,99,3,3,1,53,0.00084
14,0.5,0,3,4,2,127,0.001979
14,0.5,1,3,4,2,102,0.001805
14,0.5,2,3,3,1,53,0.000918
14,0.5,3,3,4,2,125,0.001868
14,0.5,4,3,3,1,74,0.001125
14,0.5,5,3,3,1,75,0.001083
14,0.5,6,3,4,2,99,0.001683
14,0.5,7,3,3,1,120,0.00161
14,0.5,8,3,3,1,51,0.000879
14,0.5,9,3,3,1,57,0.001146
14,0.5,10,3,3,1,55,0.000924
14,0.5,11,3,3,1,59,0.000946
14,0.5,12,3,3,1,53,0.001064
14,0.5,13,3,3,1,68,0.001149
14,0.5,14,3,3,1,58,0.000973
14,0.5,15,3,3,1,53,0.001207
14,0.5,16,3,3,1,49,0.000818
14,0.5,17,3,3,1,54,0.000849
14,0.5,18,3,4,2,90,0.001662
14,0.5,19,3,3,1,54,0.000855
14,0.5,20,3,3,1,60,0.001141
14,0.5,21,3,3,1,52,0.000843
14,0.5,22,3,3,1,57,0.000859
14,0.5,23,3,3,1,52,0.000782
14,0.5,24,3,3,1,53,0.00078
14,0.5,25,3,3,1,57,0.001305
14,0.5,26,3,3,1,58,0.000868
14,0.5,27,3,3,1,77,0.001129
14,0.5,28,3,3,1,71,0.001024
14,0.5,29,3,3,1,50,0.000914
14,0.5,30,3,3,1,63,0.000962
14,0.5,31,3,3,1,62,0.000996
14,0.5,32,3,3,1,48,0.000862
14,0.5,33,3,5,1,92,0.001761
14,0.5,34,3,4,2,135,0.001946
14,0.5,35,3,3,1,57,0.000982
14,0.5,36,3,3,1,86,0.001319
14,0.5,37,3,3,1,57,0.001072
14,0.5,38,3,4,2,104,0.002021
14,0.5,39,3,3,1,66,0.001359
14,0.5,40,3,3,1,69,0.001105
14,0.5,41,3,3,1,74,0.00121
14,0.5,42,3,3,1,71,0.001064
14,0.5,43,3,4,2,152,0.00193
14,0.5,44,3,3,1,58,0.0009
14,0.5,45,3,3,1,62,0.000983
14,0.5,46,3,3,1,53,0.000907
14,0.5,47,3,3,1,46,0.000914
14,0.5,48,3,3,1,55,0.000871
14,0.5,49,3,4,2,132,0.001803
14,0.5,50,3,4,2,104,0.001526
14,0.5,51,3,4,2,100,0.001744
14,0.5,52,3,3,1,87,0.001155
14,0.5,53,3,3,1,54,0.000914
14,0.5,54,3,3,1,73,0.001028
14,0.5,55,3,3,1,52,0.00081
14,0.5,56,3,3,1,56,0.000811
14,0.5,57,3,3,1,58,0.000789
14,0.5,58,3,3,1,55,0.000778
14,0.5,59,3,3,1,97,0.001195
14,0.5,60,3,4,2,87,0.00143
14,0.5,61,3,3,1,54,0.00082
14,0.5,62,3,3,1,55,0.000844
14,0.5,63,3,4,2,110,0.001416
14,0.5,64,3,3,1,62,0.000923
14,0.5,65,3,4,2,132,0.001923
14,0.5,66,3,3,1,87,0.001196
14,0.5,67,3,4,2,108,0.001445
14,0.5,68,3,3,1,97,0.001215
14,0.5,69,3,3,1,46,0.000777
14,0.5,70,3,3,1,58,0.000856
14,0.5,71,3,3,1,52,0.000948
14,0.5,72,3,3,1,54,0.000925
14,0.5,73,3,3,1,80,0.001043
14,0.5,74,3,4,2,94,0.00146
14,0.5,75,3,3,1,54,0.000865
14,0.5,76,3,3,1,55,0.000807
14,0.5,77,3,3,1,62,0.000888
14,0.5,78,3,3,1,56,0.000799
14,0.5,79,3,4,2,98,0.001391
14,0.5,80,3,3,1,56,0.000862
14,0.5,81,3,3,1,80,0.001089
14,0.5,82,3,3,1,49,0.000845
14,0.5,83,3,3,1,63,0.001005
14,0.5,84,3,3,1,55,0.000876
14,0.5,85,3,3,1,59,0.001401
14,0.5,86,3,3,1,61,0.000932
14,0.5,87,3,3,1,51,0.000886
14,0.5,88,3,3,1,82,0.001112
14,0.5,89,3,3,1,62,0.000964
14,0.5,90,3,3,1,84,0.001332
14,0.5,91,3,4,2,96,0.001644
14,0.5,92,3,4,2,108,0.001644
14,0.5,93,3,3,1,76,0.001124
14,0.5,94,3,3,1,65,0.001299
14,0.5,95,3,3,1,61,0.000934
14,0.5,96,3,3,1,55,0.000883
14,0.5,97,3,4,2,107,0.001688
14,0.5,98,3,4,2,138,0.002195
14,0.5,99,3,3,1,62,0.00096
15,0.5,0,3,4,2,125,0.001831
15,0.5,1,3,3,1,60,0.001048
15,0.5,2,3,3,1,117,0.001665
15,0.5,3,3,4,2,114,0.001724
15,0.5,4,3,3,1,60,0.000922
15,0.5,5,3,3,1,64,0.000965
15,0.5,6,3,3,1,74,0.001476
15,0.5,7,3,4,2,100,0.001609
15,0.5,8,3,3,1,65,0.000987
15,0.5,9,3,3,1,83,0.001678
15,0.5,10,3,3,1,56,0.001102
15,0.5,11,3,3,1,62,0.000914
15,0.5,12,3,4,2,94,0.001386
15,0.5,13,3,3,1,60,0.000853
15,0.5,14,3,3,1,61,0.001053
15,0.5,15,3,3,1,60,0.00086
15,0.5,16,3,3,1,52,0.000859
15,0.5,17,3,4,2,140,0.001979
15,0.5,18,3,4,2,112,0.001964
15,0.5,19,3,4,2,104,0.00182
15,0.5,20,3,4,2,127,0.001662
15,0.5,21,3,3,1,57,0.00093
15,0.5,22,3,5,1,140,0.002188
15,0.5,23,3,3,1,59,0.001011
15,0.5,24,3,4,2,113,0.001667
15,0.5,25,3,3,1,58,0.000946
15,0.5,26,3,3,1,67,0.000985
15,0.5,27,3,3,1,63,0.001
15,0.5,28,3,3,1,51,0.000847
15,0.5,29,3,3,1,56,0.000868
15,0.5,30,3,4,2,109,0.001551
15,0.5,31,3,3,1,59,0.000915
15,0.5,32,3,3,1,97,0.001299
15,0.5,33,3,3,1,52,0.000926
15,0.5,34,3,3,1,57,0.000807
15,0.5,35,3,4,2,102,0.001584
15,0.5,36,3,4,2,102,0.001546
15,0.5,37,3,3,1,90,0.001117
15,0.5,38,3,3,1,70,0.000954
15,0.5,39,3,3,1,55,0.00124
15,0.5,40,3,3,1,81,0.001216
15,0.5,41,3,3,1,56,0.000887
15,0.5,42,3,4,2,111,0.001619
15,0.5,43,3,5,1,141,0.002485
15,0.5,44,3,3,1,65,0.001133
15,0.5,45,3,3,1,56,0.001059
15,0.5,46,3,3,1,77,0.001198
15,0.5,47,3,4,2,112,0.002102
15,0.5,48,3,3,1,51,0.001034
15,0.5,49,3,4,2,124,0.001849
15,0.5,50,3,3,1,60,0.000852
15,0.5,51,3,5,1,135,0.002027
15,0.5,52,3,3,1,100,0.001188
15,0.5,53,3,3,1,50,0.000851
15,0.5,54,3,3,1,61,0.000855
15,0.5,55,3,3,1,67,0.000926
15,0.5,56,3,3,1,52,0.00114
15,0.5,57,3,3,1,98,0.001314
15,0.5,58,3,3,1,75,0.001747
15,0.5,59,3,3,1,77,0.001853
15,0.5,60,3,4,2,129,0.001729
15,0.5,61,3,3,1,56,0.000832
15,0.5,62,3,3,1,65,0.000841
15,0.5,63,3,3,1,60,0.00088
15,0.5,64,3,4,2,121,0.002137
15,0.5,65,3,4,2,104,0.001669
15,0.5,66,3,3,1,77,0.001072
15,0.5,67,3,4,2,108,0.001873
15,0.5,68,3,4,2,123,0.002413
15,0.5,69,3,4,2,126,0.002047
15,0.5,70,3,3,1,66,0.001161
15,0.5,71,3,3,1,64,0.000988
15,0.5,72,3,4,2,109,0.001592
15,0.5,73,3,3,1,74,0.001084
15,0.5,74,3,5,1,140,0.002336
15,0.5,75,3,3,1,77,0.001052
15,0.5,76,3,3,1,58,0.000916
15,0.5,77,3,3,1,104,0.00135
15,0.5,78,3,3,1,56,0.001007
15,0.5,79,3,3,1,54,0.001722
15,0.5,80,3,3,1,78,0.001121
15,0.5,81,3,3,1,100,0.001306
15,0.5,82,3,3,1,66,0.000952
15,0.5,83,3,3,1,59,0.001106
15,0.5,84,3,3,1,61,0.000877
15,0.5,85,3,3,1,82,0.001105
15,0.5,86,3,4,2,120,0.001625
15,0.5,87,3,3,1,73,0.001219
15,0.5,88,3,3,1,55,0.000826
15,0.5,89,3,3,1,79,0.001042
15,0.5,90,3,3,1,78,0.001042
15,0.5,91,3,3,1,64,0.001209
15,0.5,92,3,4,2,143,0.002268
15,0.5,93,3,4,2,104,0.001524
15,0.5,94,3,3,1,56,0.000911
15,0.5,95,3,4,2,135,0.002027
15,0.5,96,3,3,1,73,0.000956
15,0.5,97,3,4,2,113,0.001599
